0,D:\Dataset\Exercises dataset\train\Arm Raise\000000.mp4
5,D:\Dataset\Exercises dataset\train\Handstand Push Up\v_HandStandPushups_g20_c04.avi
2,D:\Dataset\Exercises dataset\train\Body Weight Squats\v_BodyWeightSquats_g16_c01.avi
2,D:\Dataset\Exercises dataset\train\Body Weight Squats\v_BodyWeightSquats_g11_c02.avi
1,D:\Dataset\Exercises dataset\train\Bench Press\v_BenchPress_g20_c06.avi
3,D:\Dataset\Exercises dataset\train\Curl\000045.mp4
1,D:\Dataset\Exercises dataset\train\Bench Press\v_BenchPress_g22_c03.avi
4,D:\Dataset\Exercises dataset\train\Fly\000001.mp4
9,D:\Dataset\Exercises dataset\train\Lunges\v_Lunges_g04_c02.avi
9,D:\Dataset\Exercises dataset\train\Lunges\v_Lunges_g19_c03.avi
1,D:\Dataset\Exercises dataset\train\Bench Press\v_BenchPress_g14_c04.avi
4,D:\Dataset\Exercises dataset\train\Fly\000062.mp4
1,D:\Dataset\Exercises dataset\train\Bench Press\v_BenchPress_g01_c06.avi
0,D:\Dataset\Exercises dataset\train\Arm Raise\000064.mp4
10,D:\Dataset\Exercises dataset\train\Overhead Press\000004.mp4
8,D:\Dataset\Exercises dataset\train\Leg Raise\000036.mp4
8,D:\Dataset\Exercises dataset\train\Leg Raise\000048.mp4
12,D:\Dataset\Exercises dataset\train\Push Up\v_PushUps_g05_c01.avi
11,D:\Dataset\Exercises dataset\train\Pull Up\v_PullUps_g15_c04.avi
0,D:\Dataset\Exercises dataset\train\Arm Raise\000040.mp4
8,D:\Dataset\Exercises dataset\train\Leg Raise\000054.mp4
6,D:\Dataset\Exercises dataset\train\Jump Rope\v_JumpRope_g06_c01.avi
5,D:\Dataset\Exercises dataset\train\Handstand Push Up\v_HandStandPushups_g06_c04.avi
2,D:\Dataset\Exercises dataset\train\Body Weight Squats\v_BodyWeightSquats_g23_c04.avi
3,D:\Dataset\Exercises dataset\train\Curl\000094.mp4
1,D:\Dataset\Exercises dataset\train\Bench Press\v_BenchPress_g12_c05.avi
9,D:\Dataset\Exercises dataset\train\Lunges\v_Lunges_g07_c04.avi
2,D:\Dataset\Exercises dataset\train\Body Weight Squats\v_BodyWeightSquats_g08_c03.avi
0,D:\Dataset\Exercises dataset\train\Arm Raise\000091.mp4
2,D:\Dataset\Exercises dataset\train\Body Weight Squats\v_BodyWeightSquats_g13_c01.avi
11,D:\Dataset\Exercises dataset\train\Pull Up\v_PullUps_g06_c02.avi
3,D:\Dataset\Exercises dataset\train\Curl\000085.mp4
11,D:\Dataset\Exercises dataset\train\Pull Up\v_PullUps_g13_c02.avi
5,D:\Dataset\Exercises dataset\train\Handstand Push Up\v_HandStandPushups_g08_c05.avi
11,D:\Dataset\Exercises dataset\train\Pull Up\v_PullUps_g25_c03.avi
7,D:\Dataset\Exercises dataset\train\Jumping Jack\v_JumpingJack_g05_c06.avi
5,D:\Dataset\Exercises dataset\train\Handstand Push Up\v_HandStandPushups_g16_c04.avi
6,D:\Dataset\Exercises dataset\train\Jump Rope\v_JumpRope_g24_c07.avi
8,D:\Dataset\Exercises dataset\train\Leg Raise\000015.mp4
10,D:\Dataset\Exercises dataset\train\Overhead Press\000089.mp4
6,D:\Dataset\Exercises dataset\train\Jump Rope\v_JumpRope_g04_c04.avi
6,D:\Dataset\Exercises dataset\train\Jump Rope\v_JumpRope_g15_c04.avi
12,D:\Dataset\Exercises dataset\train\Push Up\v_PushUps_g18_c01.avi
1,D:\Dataset\Exercises dataset\train\Bench Press\v_BenchPress_g17_c03.avi
7,D:\Dataset\Exercises dataset\train\Jumping Jack\v_JumpingJack_g01_c03.avi
9,D:\Dataset\Exercises dataset\train\Lunges\v_Lunges_g25_c02.avi
2,D:\Dataset\Exercises dataset\train\Body Weight Squats\v_BodyWeightSquats_g07_c01.avi
0,D:\Dataset\Exercises dataset\train\Arm Raise\000069.mp4
6,D:\Dataset\Exercises dataset\train\Jump Rope\v_JumpRope_g14_c02.avi
8,D:\Dataset\Exercises dataset\train\Leg Raise\000091.mp4
5,D:\Dataset\Exercises dataset\train\Handstand Push Up\v_HandStandPushups_g23_c05.avi
12,D:\Dataset\Exercises dataset\train\Push Up\v_PushUps_g15_c04.avi
3,D:\Dataset\Exercises dataset\train\Curl\000091.mp4
9,D:\Dataset\Exercises dataset\train\Lunges\v_Lunges_g23_c02.avi
3,D:\Dataset\Exercises dataset\train\Curl\000095.mp4
11,D:\Dataset\Exercises dataset\train\Pull Up\v_PullUps_g14_c02.avi
1,D:\Dataset\Exercises dataset\train\Bench Press\v_BenchPress_g06_c03.avi
8,D:\Dataset\Exercises dataset\train\Leg Raise\000076.mp4
10,D:\Dataset\Exercises dataset\train\Overhead Press\000000.mp4
1,D:\Dataset\Exercises dataset\train\Bench Press\v_BenchPress_g20_c03.avi
8,D:\Dataset\Exercises dataset\train\Leg Raise\000040.mp4
1,D:\Dataset\Exercises dataset\train\Bench Press\v_BenchPress_g16_c03.avi
1,D:\Dataset\Exercises dataset\train\Bench Press\v_BenchPress_g15_c01.avi
6,D:\Dataset\Exercises dataset\train\Jump Rope\v_JumpRope_g18_c01.avi
1,D:\Dataset\Exercises dataset\train\Bench Press\v_BenchPress_g07_c02.avi
12,D:\Dataset\Exercises dataset\train\Push Up\v_PushUps_g01_c03.avi
0,D:\Dataset\Exercises dataset\train\Arm Raise\000046.mp4
0,D:\Dataset\Exercises dataset\train\Arm Raise\000032.mp4
5,D:\Dataset\Exercises dataset\train\Handstand Push Up\v_HandStandPushups_g17_c01.avi
5,D:\Dataset\Exercises dataset\train\Handstand Push Up\v_HandStandPushups_g04_c02.avi
1,D:\Dataset\Exercises dataset\train\Bench Press\v_BenchPress_g07_c06.avi
10,D:\Dataset\Exercises dataset\train\Overhead Press\000049.mp4
3,D:\Dataset\Exercises dataset\train\Curl\000066.mp4
9,D:\Dataset\Exercises dataset\train\Lunges\v_Lunges_g16_c04.avi
9,D:\Dataset\Exercises dataset\train\Lunges\v_Lunges_g07_c05.avi
7,D:\Dataset\Exercises dataset\train\Jumping Jack\v_JumpingJack_g17_c02.avi
11,D:\Dataset\Exercises dataset\train\Pull Up\v_PullUps_g09_c03.avi
2,D:\Dataset\Exercises dataset\train\Body Weight Squats\v_BodyWeightSquats_g25_c01.avi
7,D:\Dataset\Exercises dataset\train\Jumping Jack\v_JumpingJack_g07_c05.avi
